
    DATASETS: This site contains data sets that are not shown completely
    in text examples and exercises. (The numbering refers to the 3rd
    edition, 2013) Thanks to Charles Geyer for pointing out some errors
    in the original posting.

*1. Horseshoe crab data set of Table 4.3*

(Here y is whether a female crab has a satellite (1=yes, 0=no) and
weight is in grams, rather than kg as in the text. Also, color has
values 1-5 with 1=light; there were no crabs of color 1, so in the text,
color was re-coded as color - 1 to give values 1, 2, 3, 4.)


color spine width satell weight y 
 36 2 14 4
 37 2  9  2 
 38 2 13 2  
 39 2 16  1  
 40 2 11 0  
 41 2  4  0  
 42 2 1  0
 43 2 12 0  
 44 3  8 0  
 45 3 11  1  
 46 3 14 0  
 47 3 14 1   
 48 3 11 0
 49 4  3 0   
 50 4 13 0  
 51 4 9   2  
 52 4 17 2  
 53 4 15 0   
 54 4 2 0
 55 4 14 1  
 56 4 8  0  
 57 4 6  0   
 58 4 17 0

*3. Ray Allen data set for Exercise 4.13 *


1   0  4 
2   7  9
3   4 11
4   3  6
5   5  6
6   2  7
7   3  7
8   0  1
9   1  8
10  6  9
11  0  5
12  2  5
13  0  5
14  2  4
15  5  7
16  1  3
17  3  7
18  0  2
19  8 11
20  0  8
21  0  4
22  0  4
23  2  5
24  2  7

*4. Rajon Rondo assists data set for Exercise 5.3 *


assists result * 1=win, last 9 observations are playoffs
 17 1 
  9 0 
 24 1 
 17 1 
 15 1 
 11 1 
 10 1 
 15 0 
 16 1 
 17 1 
 13 1 
  7 0 
 14 1 
 12 1 
 10 1 
 19 1 
 13 1 
 14 1 
  8 1 
 14 1 
  8 1 
 16 1 
 23 1 
  7 1 
  8 0 
 12 0 
 13 1 
 13 1 
 12 1 
  8 1 
 12 1 
  9 0 
 10 1 
  5 1 
  6 0 
 16 1 
 10 1 
 12 0 
  7 1 
 14 0 
 10 0 
 10 1 
  8 1 
 15 1 
  8 0 
 11 1 
 11 1 
 15 1 
 16 1 
  8 1 
  9 0 
  5 0 
  3 1 
  9 0 
  8 1 
  6 0 
  5 1 
 12 1 
 11 0 
  5 0 
  8 0 
 14 1 
  5 0 
 14 1 
 13 1 
  6 0 
 14 1 
  5 0 
 
  9 1 
  7 1 
 20 1 
 12 1 
  7 0 
 12 0 
 11 1 
  5 0 
  3 0 
;

*5. Data on Italian credit cards, for Exercise 5.22 *


income n y
24  1  0  
34  7  1  
48  1  0  
70  5  3  
27  1  0  
35  1  1  
49  1  0  
79  1  0  
28  5  2  
38  3  1  
50  10  2  
80  1  0 
29  3  0  
39  2  0  
52  1  0  
84  1  0  
30  9  1  
40  5  0  
59  1  0  
94  1  0 
31  5  1  
41  2  0  
60  5  2  
120  6  6  
32  8  0  
42  2  0  
65  6  6  
130  1  1 
33  1  0  
45  1  1  
68  3  3     

*6. Full data set for Table 7.2 on endometrial cancer grade*


nv pi eh hg * standardized use nv2=(nv-0.5); pi2=(pi-17.3797)/9.9978; eh2=(eh-1.6616)/.6621;
datalines;
    0 13 1.64 0
    0 16 2.26 0
    0  8 3.14 0
    0 34 2.68 0
    0 20 1.28 0
    0  5 2.31 0
    0 17 1.80 0
    0 10 1.68 0
    0 26 1.56 0
    0 17 2.31 0
    0  8 2.01 0
    0  7 1.89 0
    0 20 3.15 0
    0 10 1.23 0
    0 18 1.27 0
    0 16 1.76 0 
    0 18 2.00 0
    0  8 2.64 1
    0 29 0.88 1
    0 12 1.27 1
    0 20 1.37 1
    1 38 0.97 1
    1 22 1.14 1
    1  7 0.88 1
    1 25 0.91 1
    1 15 0.58 1
    0  7 0.97 1
    0 28 1.50 0
    0 11 1.33 0
    0 19 2.37 0
    0 10 1.82 0
    0 10 3.13 0
    0 18 1.31 0
    0 14 1.92 0
    0 21 1.64 0
    0 11 2.01 0
    0 17 1.88 0
    0 25 1.93 0
    0 16 2.11 0
    0 19 1.29 0
    0 15 1.72 0
    0 33 0.75 0
    0 24 1.92 0
    0 48 1.84 1
    0 12 1.11 1
    0 19 1.61 1
    0  2 1.18 1
    1 22 1.44 1
    1 40 1.18 1
    1  5 0.93 1
    1  0 1.17 1
    0 21 1.19 1
    0 15 1.06 1
    0 29 2.02 0
    0 15 2.29 0
    0 12 2.33 0
    0  3 2.90 0
    0 20 1.70 0
    0 23 1.41 0
    0 12 2.25 0
    0 22 1.54 0
    0 42 1.97 0
    0 15 1.75 0
    0 13 2.16 0
    0 14 2.57 0
    0 19 1.37 0
    0 12 3.61 0
    0 13 2.04 0
    0 10 2.17 0
    0 12 1.69 1
    1 49 0.27 1
    0  6 1.84 1
    0  5 1.30 1
    0 17 0.96 1
    1 11 1.01 1
    1 21 0.98 1
    0  5 0.35 1
    1 19 1.02 1
    0 33 0.85 1 

*7. Clinical trials data set of Table 6.9*


 center treat response count 
 a 1 1 11 
 a 1 2 25  
 a 2 1 10  
 a 2 2 27
 b 1 1 16 
 b 1 2 4   
 b 2 1 22  
 b 2 2 10
 c 1 1 14 
 c 1 2 5   
 c 2 1 7   
 c 2 2 12
 d 1 1 2  
 d 1 2 14  
 d 2 1 1   
 d 2 2 16
 e 1 1 6  
 e 1 2 11  
 e 2 1 0   
 e 2 2 12
 f 1 1 1  
 f 1 2 10  
 f 2 1 0   
 f 2 2 10
 g 1 1 1  
 g 1 2 4   
 g 2 1 1   
 g 2 2 8
 h 1 1 4  
 h 1 2 2   
 h 2 1 6   
 h 2 2 1

*8. Data set for Exercises 6.3 and 9.13*


                                    Premarital Sex
                                   1                     2
    Religious Attendence       1        2           1          2  
         Birth control      1     2   1    2      1    2     1    2 
                      1     99   15   73  25       8   4     24  22 
 Political            2     73   20   87  37      20  13     50  60
 Views                3     51   19   51  36       6  12     33  88

*9. Data set for Exercise 6.7 *


                        Race White                Race other
Age               <35     35-44     >44        <35    35-44    >44

Region           M    F    M   F    M    F     M   F   M   F   M   F

Northeast
 Satisfied      288   60  224  35  337   70    38  19  32  22  21  15 
 Not satisfied  177   57  166  19  172   30    33  35  11  20   8  10 

Mid-Atlantic 
 Satisfied       90   19   96  12  124   17    18  13   7   0   9   1 
 Not satisfied   45   12   42   5   39    2     6   7   2   3   2   1 

Southern 
 Satisfied      226   88  189  44  156   70    45  47  18  13  11   9 
 Not satisfied  128   57  117  34   73   25    31  35   3   7   2   2  

Midwest  
 Satisfied      285  110  225  53  324   60    40  66  19  25  22  11  
 Not satisfied  179   93  141  24  140   47    25  56  11  19   2  12  

Northwest 
 Satisfied      270  176  215  80  269  110    36  25   9  11  16   4 
 Not satisfied  180  151  108  40  136   40    20  16   7   5   3   5 

Southwest 
 Satisfied      252   97  162  47  199   62    69  45  14   8  14   2 
 Not satisfied  126   61   72  27   93   24    27  36   7   4   5   0 

Pacific 
 Satisfied      119   62   66  20   67   25    45  22  15  10   8   6 
 Not satisfied   58   33   20  10   21   10    16  15  10   8   6   2 

*10. Data on surgery and sore throats in Table 6.15, for Exercise 6.8 *


D  T  Y  
45 0 0 
15 0 0 
40 0 1 
83 1 1 
90 1 1 
25 1 1
35 0 1
65 0 1
95 0 1
35 0 1
75 0 1
45 1 1
50 1 0
75 1 1
30 0 0
25 0 1
20 1 0
60 1 1
70 1 1
30 0 1
60 0 1
61 0 0
65 0 1
15 1 0
20 1 0
45 0 1
15 1 0
25 0 1
15 1 0
30 0 1
40 0 1
15 1 0
135 1 1
20 1 0
40 1 0

*11. Data on incontinence study, for Exercise 6.20 *


y x1 x2 x3
0 -1.9 -5.3 -43
0 -1.5 3.9 -15
0 -0.1 -5.2 -32
0 0.5 27.5 8
0 0.8 -3.0 -12
0 0.8 -1.6 -2
0 0.9 3.4 1
0 2.3 23.4 14
1 -5.6 -13.1 -1
1 -5.3 -19.8 -33
1 -2.4 1.8 -9
1 -2.3 -7.4 4
1 -2.0 -5.7 -7
1 -1.7 -3.9 13
1 -0.6 -2.4 -7
1 -0.5 -14.5 -12
1 -0.1 -10.2 -5
1 -0.1 -9.9 -11
1 0.4 -17.2 -9
1 0.7 -10.7 -10
1 1.1 -4.5 -15

*12. Data set for Exercise 6.28 *


                                         Occupational aspirations
                         Socioeconomic
Gender  Residence   IQ     status
                                               High  Low

Male     Rural     High      High              117  47
                              Low               54  87 
                    Low      High               29  78 
                              Low               31  262 
         Small     High      High              350  80 
           urban              Low               70  85 
                    Low      High               71  120 
                              Low               33  265 
         Large     High      High              151   31 
           urban              Low               27   23 
                    Low      High               30   27 
                              Low               12   52 

Female   Rural     High      High              102   69 
                              Low               52  119 
                    Low      High               32   73 
                              Low               28  349 
         Small     High      High              338   96 
           urban              Low               44   99 
                    Low      High               76  107 
                              Low               22  344 
         Large     High      High              148   35 
           urban              Low               17   39 
                    Low      High               21   47 
                              Low                6  116 

*13. Alligator food choice data set of Table 8.1*


lake gender size food count
1 1 1 1 7   
1 1 1 2 1   
1 1 1 3 0   
1 1 1 4 0   
1 1 1 5 5
1 1 2 1 4   
1 1 2 2 0   
1 1 2 3 0   
1 1 2 4 1   
1 1 2 5 2        
1 2 1 1 16  
1 2 1 2 3   
1 2 1 3 2   
1 2 1 4 2   
1 2 1 5 3
1 2 2 1 3   
1 2 2 2 0   
1 2 2 3 1   
1 2 2 4 2   
1 2 2 5 3
2 1 1 1 2   
2 1 1 2 2   
2 1 1 3 0   
2 1 1 4 0   
2 1 1 5 1  
2 1 2 1 13  
2 1 2 2 7   
2 1 2 3 6   
2 1 2 4 0   
2 1 2 5 0  
2 2 1 1 3   
2 2 1 2 9   
2 2 1 3 1   
2 2 1 4 0   
2 2 1 5 2  
2 2 2 1 0   
2 2 2 2 1   
2 2 2 3 0   
2 2 2 4 1   
2 2 2 5 0 
3 1 1 1 3   
3 1 1 2 7   
3 1 1 3 1   
3 1 1 4 0   
3 1 1 5 1
3 1 2 1 8   
3 1 2 2 6   
3 1 2 3 6   
3 1 2 4 3   
3 1 2 5 5  
3 2 1 1 2   
3 2 1 2 4   
3 2 1 3 1   
3 2 1 4 1   
3 2 1 5 4          
3 2 2 1 0   
3 2 2 2 1   
3 2 2 3 0   
3 2 2 4 0   
3 2 2 5 0  
4 1 1 1 13  
4 1 1 2 10  
4 1 1 3 0   
4 1 1 4 2   
4 1 1 5 2  
4 1 2 1 9   
4 1 2 2 0   
4 1 2 3 0   
4 1 2 4 1   
4 1 2 5 2  
4 2 1 1 3   
4 2 1 2 9   
4 2 1 3 1   
4 2 1 4 0   
4 2 1 5 1
4 2 2 1 8   
4 2 2 2 1   
4 2 2 3 0   
4 2 2 4 0   
4 2 2 5 1           

*14. Full data set for Table 8.5 on happiness, traumatic events, and race*


  race trauma happy * race is 0=white, 1=black
    0 0 1 
    0 0 1 
    0 0 1 
    0 0 1 
    0 0 1 
    0 0 1 
    0 0 1 
    0 0 2 
    0 0 2 
    0 0 2 
    0 0 2
    0 0 2
    0 0 2
    0 0 2
    0 0 2 
    0 0 2 
    0 0 2 
    0 0 2
    0 0 2
    0 0 2
    0 0 2
    0 0 2
    0 0 3
    0 1 1
    0 1 1
    0 1 1
    0 1 1 
    0 1 1
    0 1 1
    0 1 1
    0 1 1 
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 2
    0 1 3
    0 2 1
    0 2 1
    0 2 1
    0 2 1
    0 2 1
    0 2 2
    0 2 2
    0 2 2
    0 2 2         
    0 2 2
    0 2 2
    0 2 2
    0 2 2         
    0 2 2
    0 2 2
    0 2 2
    0 2 2         
    0 2 2
    0 2 2
    0 2 2
    0 2 2         
    0 2 3
    0 3 1
    0 3 2
    0 3 2
    0 3 2 
    0 3 2
    0 3 2
    0 3 2 
    0 3 2
    0 3 2
    0 3 2 
    0 3 3
    0 4 1
    0 4 2
    0 4 2
    0 4 2
    0 4 2
    0 5 3
    0 5 3
    1 0 2
    1 0 3
    1 1 2
    1 1 2
    1 1 2
    1 1 3
    1 2 2
    1 2 2
    1 2 2
    1 2 3
    1 3 2
    1 3 2
    1 3 3

*15. Data for Exercise 8.18 on dumping severity *


            Hospital 1     Hosptial 2     Hospital 3    Hospital 4
 Operation   N   S   M      N   S   M      N   S   M     N   S  M 
   A        23    7   2    18    6   1     8   6   3    12   9   1 
   B        23   10   5    18    6   2    12   4   4    15   3   2 
   C        20   13   5    13   13   2    11   6   2    14   8   3 
   D        24   10   6     9   15   2     7   7   4    13   6   4 

*16. Data for Exercise 8.28 on satisfaction with housing *


Housing                    Low contact: Satisfaction    High contact: Satisfaction   
                             Low   Medium   High          Low   Medium   High 
                 Influence

Tower blocks         Low     21      21       28           14     19     37 
                  Medium     34      22       36           17     23     40 
                    High     10      11       36            3      5     23 
                                                                 
Apartments           Low     61      23       17           78     46     43 
                  Medium     43      35       40           48     45     86 
                    High     26      18       54           15     25     62 
                                                                 
Atrium houses        Low     13       9       10           20     23     20 
                  Medium      8       8       12           10     22     24 
                    High      6       7        9            7     10     21 
                                                                 
Terraced houses      Low     18       6        7           57     23     13 
                  Medium     15      13       13           31     21     13 
                    High      7       5       11            5      6     13 

*17. High school student survey data set of Table 9.3*


 a c m count 
1 1 1 911  
1 1 2 538   
1 2 1 44   
1 2 2 456
2 1 1   3   
2 1 2  43   
2 2 1  2   
2 2 2 279

*18. Government spending data set for Exercise 9.5 *


e h c l count
1 1 1 1 62 
1 1 2 1 90 
1 1 3 1 74 
1 2 1 1 11 
1 2 2 1 22 
1 2 3 1 19 
1 3 1 1 2  
1 3 2 1 2  
1 3 3 1 1  
2 1 1 1 11 
2 1 2 1 21 
2 1 3 1 20 
2 2 1 1 1  
2 2 2 1 6  
2 2 3 1 6  
2 3 1 1 1  
2 3 2 1 2  
2 3 3 1 4  
3 1 1 1 3  
3 1 2 1 2  
3 1 3 1 9  
3 2 1 1 1  
3 2 2 1 2  
3 2 3 1 4  
3 3 1 1 1  
3 3 2 1 0  
3 3 3 1 1  
1 1 1 2 17     
 1 1 2 2 42 
 1 1 3 2 31 
 1 2 1 2 7  
 1 2 2 2 18 
 1 2 3 2 14 
1 3 1 2 3      
1 3 2 2 0      
1 3 3 2 3      
 2 1 1 2 3  
 2 1 2 2 13 
 2 1 3 2 8  
2 2 1 2 4   
2 2 2 2 9      
2 2 3 2 5      
2 3 1 2 0      
2 3 2 2 1      
2 3 3 2 3      
3 1 1 2 0      
3 1 2 2 1      
3 1 3 2 2      
3 2 1 2 0      
3 2 2 2 1      
3 2 3 2 2      
3 3 1 2 0      
3 3 2 2 0      
3 3 3 2 2   
1 1 1 3 5	
  1 1 2 3 3  
  1 1 3 3 11 
 1 2 1 3 0   
  1 2 2 3 1  
  1 2 3 3 3  
1 3 1 3 1	
1 3 2 3 1	
1 3 3 3 1	
 2 1 1 3 0   
  2 1 2 3 2  
 2 1 3 3 3   
2 2 1 3 0    
2 2 2 3 0	
2 2 3 3 2	
2 3 1 3 1	
2 3 2 3 1	
2 3 3 3 1	
3 1 1 3 0	
3 1 2 3 0	
3 1 3 3 1	
3 2 1 3 0	
3 2 2 3 0	
3 2 3 3 0	
3 3 1 3 0	
3 3 2 3 0	
3 3 3 3 3    

*19. Alcohol, cigarette, and marijuana use, by gender and race, as in
Table 10.1*


a c m r g count 
1 1 1 1 1 405      
1 1 1 2 1  23      
1 2 1 1 1  13      
1 2 1 2 1   2      
2 1 1 1 1   1      
2 1 1 2 1   0      
2 2 1 1 1   1      
2 2 1 2 1   0      
1 1 2 1 1 268
1 1 2 2 1  23
1 2 2 1 1 218
1 2 2 2 1  19
2 1 2 1 1  17
2 1 2 2 1   1
2 2 2 1 1 117
2 2 2 2 1  12
1 1 1 1 2 453
1 1 1 2 2  30
1 2 1 1 2  28
1 2 1 2 2   1
2 1 1 1 2   1
2 1 1 2 2   1
2 2 1 1 2   1
2 2 1 2 2   0
1 1 2 1 2 228
1 1 2 2 2  19
1 2 2 1 2 201
1 2 2 2 2  18
2 1 2 1 2  17
2 1 2 2 2   8
2 2 2 1 2 133
2 2 2 2 2  17

*20. Opinions about birth control and premarital sex data set of Table 10.3*


premar birth count  
1 4  38   
1 3  60   
1 2  68   
1 1  81
2 4  14    
2 3  29   
2 2  26   
2 1  24
3 4  42   
3 3  74   
3 2  41   
3 1  18
4 4 157   
4 3 161   
4 2  57  
4 1  36

*21. Migration data set of Table 11.5*


 row column count
 ne ne 266  
  ne mw  15 
  ne  s  61 
  ne  w  28 
  mw ne  10 
  mw mw 414 
  mw  s  50 
  mw  w  40 
   s ne   8 
   s mw  22 
   s  s 578 
   s  w  22 
   w ne   7 
   w mw   6 
   w  s  27 
   w  w 301 

*22. Depression data set of Table 12.1 in case form*


case severity treat time outcome * outcome=1 is normal
  1  0  0  0  1
  1  0  0  1  1
  1  0  0  2  1
  2  0  0  0  1
  2  0  0  1  1
  2  0  0  2  1
  3  0  0  0  1
  3  0  0  1  1
  3  0  0  2  1
  4  0  0  0  1
  4  0  0  1  1
  4  0  0  2  1
  5  0  0  0  1
  5  0  0  1  1
  5  0  0  2  1
  6  0  0  0  1
  6  0  0  1  1
  6  0  0  2  1
  7  0  0  0  1
  7  0  0  1  1
  7  0  0  2  1
  8  0  0  0  1
  8  0  0  1  1
  8  0  0  2  1
  9  0  0  0  1
  9  0  0  1  1
  9  0  0  2  1
 10  0  0  0  1
 10  0  0  1  1
 10  0  0  2  1
 11  0  0  0  1
 11  0  0  1  1
 11  0  0  2  1
 12  0  0  0  1
 12  0  0  1  1
 12  0  0  2  1
 13  0  0  0  1
 13  0  0  1  1
 13  0  0  2  1
 14  0  0  0  1
 14  0  0  1  1
 14  0  0  2  1
 15  0  0  0  1
 15  0  0  1  1
 15  0  0  2  1
 16  0  0  0  1
 16  0  0  1  1
 16  0  0  2  1
 17  0  0  0  1
 17  0  0  1  1
 17  0  0  2  0
 18  0  0  0  1
 18  0  0  1  1
 18  0  0  2  0
 19  0  0  0  1
 19  0  0  1  1
 19  0  0  2  0
 20  0  0  0  1
 20  0  0  1  1
 20  0  0  2  0
 21  0  0  0  1
 21  0  0  1  1
 21  0  0  2  0
 22  0  0  0  1
 22  0  0  1  1
 22  0  0  2  0
 23  0  0  0  1
 23  0  0  1  1
 23  0  0  2  0
 24  0  0  0  1
 24  0  0  1  1
 24  0  0  2  0
 25  0  0  0  1
 25  0  0  1  1
 25  0  0  2  0
 26  0  0  0  1
 26  0  0  1  1
 26  0  0  2  0
 27  0  0  0  1
 27  0  0  1  1
 27  0  0  2  0
 28  0  0  0  1
 28  0  0  1  1
 28  0  0  2  0
 29  0  0  0  1
 29  0  0  1  1
 29  0  0  2  0
 30  0  0  0  1
 30  0  0  1  0
 30  0  0  2  1
 31  0  0  0  1
 31  0  0  1  0
 31  0  0  2  1
 32  0  0  0  1
 32  0  0  1  0
 32  0  0  2  1
 33  0  0  0  1
 33  0  0  1  0
 33  0  0  2  1
 34  0  0  0  1
 34  0  0  1  0
 34  0  0  2  1
 35  0  0  0  1
 35  0  0  1  0
 35  0  0  2  1
 36  0  0  0  1
 36  0  0  1  0
 36  0  0  2  1
 37  0  0  0  1
 37  0  0  1  0
 37  0  0  2  1
 38  0  0  0  1
 38  0  0  1  0
 38  0  0  2  1
 39  0  0  0  1
 39  0  0  1  0
 39  0  0  2  0
 40  0  0  0  1
 40  0  0  1  0
 40  0  0  2  0
 41  0  0  0  1
 41  0  0  1  0
 41  0  0  2  0
 42  0  0  0  0
 42  0  0  1  1
 42  0  0  2  1
 43  0  0  0  0
 43  0  0  1  1
 43  0  0  2  1
 44  0  0  0  0
 44  0  0  1  1
 44  0  0  2  1
 45  0  0  0  0
 45  0  0  1  1
 45  0  0  2  1
 46  0  0  0  0
 46  0  0  1  1
 46  0  0  2  1
 47  0  0  0  0
 47  0  0  1  1
 47  0  0  2  1
 48  0  0  0  0
 48  0  0  1  1
 48  0  0  2  1
 49  0  0  0  0
 49  0  0  1  1
 49  0  0  2  1
 50  0  0  0  0
 50  0  0  1  1
 50  0  0  2  1
 51  0  0  0  0
 51  0  0  1  1
 51  0  0  2  1
 52  0  0  0  0
 52  0  0  1  1
 52  0  0  2  1
 53  0  0  0  0
 53  0  0  1  1
 53  0  0  2  1
 54  0  0  0  0
 54  0  0  1  1
 54  0  0  2  1
 55  0  0  0  0
 55  0  0  1  1
 55  0  0  2  1
 56  0  0  0  0
 56  0  0  1  1
 56  0  0  2  0
 57  0  0  0  0
 57  0  0  1  1
 57  0  0  2  0
 58  0  0  0  0
 58  0  0  1  1
 58  0  0  2  0
 59  0  0  0  0
 59  0  0  1  1
 59  0  0  2  0
 60  0  0  0  0
 60  0  0  1  0
 60  0  0  2  1
 61  0  0  0  0
 61  0  0  1  0
 61  0  0  2  1
 62  0  0  0  0
 62  0  0  1  0
 62  0  0  2  1
 63  0  0  0  0
 63  0  0  1  0
 63  0  0  2  1
 64  0  0  0  0
 64  0  0  1  0
 64  0  0  2  1
 65  0  0  0  0
 65  0  0  1  0
 65  0  0  2  1
 66  0  0  0  0
 66  0  0  1  0
 66  0  0  2  1
 67  0  0  0  0
 67  0  0  1  0
 67  0  0  2  1
